datafile,sampname,variety,type,dry wt,Acetic acid butyl ester,Sabinene,β-Pinene,β-Myrcene,4-hexen-1-ol acetate,2-hexen-1-ol acetate,Eucalyptol,β-Ocimene,Benzeneacetaldehyde,2-hexen-1-yl dodecanoic acid ester,ɣ-Terpinene,trans-Oxiran-3-undecyl methyl ester,cis-Linalool oxide,trans-Linalool oxide,Terpinolene,Linalool,"(E)-4,8-Dimethylnona-1,3,7-triene",Camphor,Borneol,ɑ-Methylindene,ɑ-Terpineol,Estragole,Fenchyl acetate,cis-Geraniol,trans-Geraniol,Cuminal,Citral,Bornyl acetate,Eicosane,ɑ-Longipinene,"Unknown 43, 69, 55",ɑ-Cubebene,Eugenol,ɑ-Ylangene,Methyl cinnamate,Longicyclene,Methyleugenol,β-Elemene,Isolongifolene,cis-Bergamotene,"Unknown 95, 161, 107",Aromadendrene,Longifolene,β-Ylangene,β-Caryophyllene,ɑ-Bergamotene,β-Copaene,ɑ-Guaiene,Calarene,δ-Muurolene,ɑ-Muurolene,Humulene,(+)-epi-Bicyclosesquiphellandrene,ɣ-Muurolene,Germacrene D,Lavandulyl propionate,Valencene,"Unknown 43, 81, 105",ɑ-Amorphene,Aciphyllene,δ-Guaiene,ɣ-Cadinene,δ-Cadinene,"1,4-Cadinadiene",ɑ-Cadinene," [S-(Z)]- 3,7,11-trimethyl-1,6,10-Dodecatrien-3-ol","(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",Benzenecycloheptene,β-Elemenone,"Unknown 71, 43, 79",Spathulenol,"Unknown 109, 81, 43",Thymyl tiglate,Epicubenol,Methyl jasmonate,tau-Cadinol,"Unknown 161, 204, 105","Unknown 43, 105, 204",2-(1-phenylethyl)-Phenol,"Unknown 43, 55, 93","Unknown 43, 95, 41","2,6,10,14-Tetramethyl-7-(3-methylpent-4-enylidene) pentadecane","Unknown 161, 204, 43","Unknown 161, 43, 205","2,6,10,14-Tetramethyl octadecane"
,,,,RT,808,978,983,990,1002,1009,1038,1048,1049,1057,1064,1072,1078,1092,1094,1099,1116,1158,1161,1163,1199,1204,1205,1233,1257,1271,1274,1296,1326,1351,1354,1364,1366,1390,1393,1399,1406,1407,1416,1428,1430,1433,1434,1440,1444,1448,1451,1455,1458,1466,1472,1478,1485,1494,1504,1510,1511,1511,1516,1519,1526,1534,1540,1553,1557,1568,1582,1585,1598,1613,1618,1618,1631,1640,1658,1663,1690,1739,1739,1766,1810,1845,1964,1987,2196
basil0622_28.D,28atc123t1,aroma 2,flower,0.2032,1614.475842,77.89705629,199.2229883,839.5798272,0,0,2547.11818,2509.340714,0,0,0,0,0,0,0,41436.1972,0,667.3246391,121.4534146,180.5460151,396.8939331,0,0,0,0,255.5191938,0,0,938.6563578,241.901747,265.0930559,229.3325453,2933.585839,59.2612387,15.73976974,102.755613,0,7711.329722,0,0,0,0,0,2884.052125,172.0546655,0,1115.921945,2381.198883,0,3370.84707,0,761.3479853,247.1864085,0,991.6331915,323.1064498,0,144.820635,0,607.7867731,2324.166046,1239.444652,270.5556342,33.1862851,54.32754587,46.04140377,0,0,0,13.27040916,0,13.27040916,0,191.3624658,0,1482.732586,0,72.78719508,0,47.77560927,0,1.596659812,43.78741003,31.31455171,0
basil0622_35.D,36atc120t1,aroma 2,flower,0.1692,1251.532976,0,0,0,0,0,1670.278515,1336.933307,0,0,0,0,0,0,0,18797.97269,0,76.79003032,124.7353511,107.8386557,146.5075595,0,0,0,0,317.6546304,0,0,312.2339697,47.15059847,148.799143,162.1034083,2350.881245,0,0,18.52130085,0,1555.118786,0,0,0,0,0,615.2303948,142.701035,0,246.5984805,762.1642729,0,881.1161642,0,176.4442524,76.42372913,0,186.0034273,201.2502177,58.13747087,46.2505283,0,126.0281279,466.5660462,468.237305,65.72991937,0,0,0,0,0,0,0,0,0,0,76.03898637,0,535.2257039,0,49.77393972,12.21662172,26.82872202,0,0,0,7.279705953,52.00492429
basil0622_70.D,70cic120t2,aroma 2,flower,0.2023,0,0,0,964.5801357,0,0,257.7031277,2180.788943,0,0,285.6701046,0,0,0,0,36955.18661,0,340.6278738,28.97016074,22.55984498,33.55175962,0,0,0,30.52659954,95.95957528,0,0,236.9164547,781.0787536,55.29550285,772.0559143,324.4602082,57.68770497,38.40413568,206.8715167,0,14115.74707,0,0,0,0,0,5194.465433,417.2041438,679.3495786,2040.632989,4516.696458,0,6923.899972,0,1796.992904,471.2043424,0,1752.865759,0,0,0,0,1012.603731,3954.769388,1513.373749,189.9309266,0,0,55.02461882,0,0,0,0,0,0,0,88.03264453,0,323.1230449,0,0,7.201532022,0,0,0,36.60672447,29.54172755,55.32218374
basil0622_30.D,30atc3t1,aroma 2,leaf,0.036,8104.651853,0,0,0,0,0,305.5983095,0,0,0,0,0,0,0,0,309.2611318,0,0,806.8098674,734.9547897,0,32.6325828,0,0,0,1026.844811,0,0,0,0,701.4761996,0,0,75.81872523,0,856.6014817,0,0,1699.254793,0,508.9709636,503.99756,2963.822245,0,0,0,0,201.0348868,0,0,0,0,0,0,0,1126.781983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929.4470802,0,0,0,0,351.9419981,1358.065434,0,0,0,0,0,4137.6218
basil0622_04.D,4cic14t1,cinnamon,flower,0.2692,601.901399,32.36302117,72.82101983,287.5035247,0,1.812203665,737.924287,782.8416258,499.0018112,0,32.61658634,0,0,106.8831328,0,13538.97203,117.4131577,120.9626629,0,29.66560812,47.31587969,6430.687154,0,0,0,240.8924435,0,0,43.11281672,71.40289912,147.5849902,0,13.25244626,0,3403.49702,20.09966849,2.527106855,1192.004071,0,0,0,0,0,482.4819254,36.55043358,135.6323006,201.0050477,455.4269726,0,612.7767117,50.22010162,203.2584798,46.31683708,87.1138114,467.303813,198.3285877,133.8727291,73.88685929,237.4421767,255.1383774,418.7151662,381.2665174,233.5706915,28.61063509,40.66045584,27.29214231,0,38.61710173,39.4731434,0,0,0,0,51.80093273,0,392.3903635,0,24.42123279,12.65792217,7.502832938,0,0,0,0,116.8791198
basil0622_44.D,44cic14t1,cinnamon,flower,0.1521,2659.379198,0,0,0,0,0,441.213826,1262.506562,1264.715879,0,84.87789644,0,0,159.0780009,0,51024.54354,0,0,193.5714764,189.054662,89.46612195,6474.427865,0,0,0,829.7044909,0,0,0,619.7611744,411.4964207,0,0,0,39643.01309,109.2443238,11.30382298,6794.100363,0,0,0,0,0,3776.783743,151.4631943,286.1552094,1764.491456,1976.524701,241.5207851,4846.429148,0,760.3897332,446.0857303,33.60810349,1623.690701,550.8655409,0,242.2302852,714.9310804,868.5416457,1871.295342,2559.455315,325.6517136,0,131.4075719,565.7340931,0,58.15530512,2523.592794,0,0,0,0,636.8673473,0,4624.445746,0,264.0194246,0,81.09092952,108.2979273,4.775318785,0,40.57257657,0
basil0622_75.D,75cic2t2,cinnamon,flower,0.2232,352.3148427,0,0,0,0,0,86.78381061,192.7209878,0,0,0,0,0,0,0,5060.022857,0,0,18.10476529,16.97961995,0,628.1129278,0,0,0,337.2016737,0,0,0,22.48266686,0,0,0,0,5098.430166,0,0,465.4997938,0,0,0,0,0,294.8615934,12.12972929,0,148.5226568,157.0531895,0,293.0449554,0,53.20247087,33.9011633,0,65.10349051,0,0,0,0,35.90039991,24.03361351,216.2993823,25.24591852,0,0,0,0,0,182.9455531,0,0,0,0,39.99683305,0,226.0962676,0,25.6639164,0,8.914521326,0,1.220795765,0,5.925078096,0
basil0622_17.D,17cic52t1,cinnamon,leaf,0.0444,8564.516483,0,0,0,0,0,0,0,3297.520447,143225.3814,0,0,0,0,0,672.1989391,0,0,233.8591691,157.9741263,0,0,0,0,0,0,0,0,0,0,964.8678725,0,0,0,1805.999866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.78029492,0,0,0,0,0,0,153.9332006,0,0,0,0,0,59.64880174,0,265.8843079,0,0,0,0,0,0,0,0,0
basil0622_53.D,53gvc95t2,genovese,flower,0.1661,804.2948479,0,0,0,0,0,1923.870087,981.248022,0,0,0,0,0,0,0,81742.55913,0,285.9856042,86.04268353,82.67184816,345.969701,0,9.723157117,0,0,400.0428159,0,0,424.0251169,124.1564367,62.24022324,0,8163.392909,49.91683296,0,62.83146492,7.667011245,3911.621613,0,603.3238475,0,0,0,2272.3986,148.4772434,11744.04927,0,1697.675461,0,3342.787907,0,700.7056879,350.5119696,0,948.0022891,153.7617452,109.7142186,130.6505321,142.9388352,1324.169633,1261.006878,1807.604946,137.0801376,0,82.74524523,92.23637404,0,0,272.267605,0,0,0,0,288.8494524,0,2268.087426,0,97.1290071,13.51759136,57.89280577,0,0,0,19.94315795,0
basil0622_71.D,71gvc118t2,genovese,flower,0.2198,48.10147339,27.20814289,79.43364526,376.9976031,0,0,492.001742,1058.652616,0,0,0,0,0,0,0,25852.83019,0,75.16725628,36.10009604,31.32250629,75.01860625,0,4.9234031,0,0,232.9414977,0,0,210.0431294,36.44184186,0,89.02384884,4467.964175,0,0,59.44739437,5.710464154,1425.681959,44.5215608,0,16.38492614,0,63.11222186,458.6164848,0,5611.260305,0,590.6134339,0,727.3542952,0,167.2002861,138.940421,0,554.429144,22.06323414,0,0,0,478.0013466,288.3063506,697.1520862,46.16780477,0,32.7232637,0,0,0,64.47843882,17.30252457,0,17.30252457,0,121.6789825,0,782.9097069,0,66.33905578,10.97589236,28.4207195,0,0,0,0,275.9227947
basil0622_79.D,79gvc2t2,genovese,flower,0.0516,336.3122091,684.0103064,1546.253923,7651.563042,0,58.08056109,16101.69726,23800.16899,0,0,235.5718949,0,0,0,0,268959.5397,0,4840.282214,103.0791964,101.8816777,1567.401333,199.6816006,46.91058993,0,303.3203104,868.3359109,0,0,2666.244388,475.2265425,0,1943.231954,62878.46783,0,0,222.8446075,120.7408573,18831.80624,0,0,283.7928901,0,0,8562.658001,0,108101.5022,0,9729.403343,0,15315.29546,0,2564.647383,2298.275993,0,12220.9834,0,0,0,0,12484.85855,8117.319748,10670.25523,988.23817,236.7478097,550.9817878,259.7117496,0,0,2573.909353,223.1832457,0,239.6892494,0,2038.025904,297.1681105,15936.25408,0,999.7681459,0,306.9354112,0,14.98913538,0,24.07368037,0
basil0622_37.D,37gvc112t1,genovese,leaf,0.0419,6470.299957,0,0,0,0,0,560.4728586,0,0,0,0,0,0,0,0,1710.844492,0,0,699.2229337,602.5784962,88.48258068,0,0,0,0,458.3835855,0,0,0,0,149.6610345,0,999.6519376,210.3019284,0,844.1165897,0,0,1680.703762,0,563.7944511,377.6773191,2828.017915,0,0,423.7029421,0,0,0,0,0,0,0,0,0,308.5892792,0,0,0,0,0,95.13328217,0,0,0,303.4862343,0,0,0,0,0,0,1471.518382,0,0,144.6218595,0,327.8562005,1616.769876,0,0,0,0,0,3539.401308
basil0622_39.D,39gvc83t1,genovese,flower,0.3545,643.2346682,156.516973,320.1231866,2116.07882,0,23.13958219,3655.956652,6703.066866,0,0,0,0,0,0,468.0239783,49301.77186,0,1386.702434,90.93181959,81.02774339,545.3912739,0,0,0,0,147.9542342,0,0,833.8491551,380.7290743,209.9113914,550.3449602,14009.62271,63.90842575,20.81856011,161.1051815,41.38702874,10220.44183,0,553.7912988,29.19272071,215.0911054,0,4248.114416,14645.22248,14451.74179,2556.841426,3125.089402,0,6918.982657,0,1627.860845,651.3229414,62.52781351,2086.541261,377.3812383,0,204.1950141,736.8750016,2747.235263,3136.042598,3302.55845,280.0939393,51.0125155,156.4004117,151.6676286,0,0,431.6996238,24.70706805,0,24.70706805,0,708.2827392,150.5739191,6407.186387,0,126.5695599,40.5341701,59.30282451,40.72856446,12.92557648,62.02566776,54.69392956,91.71632914
basil0622_06.D,6gdc21t1,grk dwarf,flower,0.1549,310.0920877,252.8985069,955.5439025,1300.125321,151.7829943,0,9854.591647,0,1466.345071,0,0,29.54718381,0,0,148.4566713,16702.36083,0,561.7731545,16.43731268,24.43481159,766.0104576,49.21270727,11.36943924,0,0,431.0822457,0,284.6335756,934.9343267,198.7957589,0,0,12487.47529,0,12.56953717,3.299255802,3643.77597,0,0,0,0,0,0,667.8519155,69.26277135,6023.042581,0,0,951.9947189,1728.906151,53.85345008,656.0009535,231.7838555,0,192.6769366,32.00904038,135.372174,158.8859993,299.6531645,728.7269037,94.81464036,1610.166226,162.1340967,33.56519528,90.95454963,40.31282298,0,18.47288677,116.1206592,62.93713863,60.13521383,62.93713863,0,410.4317397,0,3361.710245,53.33048952,31.08629685,0,4.788289804,19.10638444,31.1393848,0,0,35.66242961
basil0622_20.D,20gdc24t1,grk dwarf,flower,0.1647,78.03948254,31.81399581,84.08822195,490.6468586,58.23379798,4.127675039,1068.456521,0,763.3507569,0,0,0,0,146.7604266,0,27099.86648,312.9306269,624.0934866,35.64277667,0,125.6811047,3466.660455,0,0,0,300.9534447,0,51.78488563,201.3967494,82.08928389,0,334.9989804,2513.132044,0,11.86298729,43.53874514,6.99516005,3333.646373,111.7085789,0,33.89455451,29.60552325,184.5279147,784.7009477,168.3848454,87.7210953,328.9782295,1505.735594,0,1280.616332,0,850.980862,273.3272849,0,1561.820283,0,195.1452345,131.5386823,0,358.4852464,744.3373291,1296.37466,239.3120857,44.79392468,61.26084196,42.8252698,0,0,0,0,0,0,0,169.6332201,0,1135.461444,0,99.0292054,95.961152,41.04341664,0,0,0,0,295.289235
basil0622_34.D,35gdc25t2,grk dwarf,flower,0.1729,589.6005421,35.95095219,93.99539097,594.1213594,0,0,690.050494,477.4499627,0,0,0,0,0,154.6661784,0,35357.2007,0,451.1739704,105.316482,93.07028473,149.5617326,43.72763404,42.58763903,0,0,850.0631429,0,0,63.5032989,251.3697337,0,342.4178067,5513.381895,20.34191389,0,90.04433775,0,6518.885085,0,0,0,0,0,2453.908752,221.0454036,396.5422086,931.3281421,1718.395418,0,3088.796375,0,1297.891833,345.2870599,0,788.4553093,31.19141748,90.34688105,140.3641393,249.9165432,341.8024225,917.5753177,1521.889715,164.7771749,21.71526543,71.57788661,66.34845208,0,0,0,0,0,0,0,239.5520708,0,2457.556171,0,81.98115917,0,49.94957095,0,2.823520054,0,9.287752967,0
basil0622_73.D,73gdc21t2,grk dwarf,flower,0.1886,0,88.64988156,254.7337995,694.0195643,0,0,2312.36389,0,507.6266526,0,0,0,0,0,0,39861.32771,0,639.3108967,31.43342631,27.81547254,367.4129698,0,45.47312223,0,0,588.6881887,0,0,1416.412335,203.4206298,0,381.5713017,5971.303985,0,0,107.0556847,20.6780845,7950.659615,0,0,0,0,0,2468.135003,317.6598734,191.4625756,949.3638637,2812.047599,0,3104.237985,0,1965.119803,425.5999872,0,1300.680986,20.58658289,0,148.7510054,0,612.101968,2304.585144,2096.339509,207.5042421,36.63755802,110.6767987,0,44.957432,0,0,0,0,0,0,246.2436101,53.99544863,1690.383011,0,42.64274758,0,34.08716635,0,2.279507208,0,0,0
basil0622_58.D,58gvc109t2,grk dwarf,leaf,0.1874,429.8817053,0,0,0,0,0,63.47249417,59.85584499,0,0,0,0,0,0,0,567.5322849,0,0,25.35831292,25.33018822,0,0,0,0,0,219.7130448,0,0,0,0,13.11401563,0,8.005882596,0,0,0,0,0,0,0,0,0,0,0,0,248.2128855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.71388495,0,0,0,0,0,0,0,0,0,0,0,0,0,15.58653131,0,0,0,0,0,0,0,0,0
basil0622_25.D,25lec82t1,lemon,flower,0.1849,1043.169716,0,209.7540666,3681.702591,861.4845153,56.07673528,235.7209262,3340.42406,0,0,350.3460274,0,0,0,0,31195.48589,418.1062566,40.8918331,276.2681,223.5576767,1876.410153,0,35.99855939,8880.02102,2930.878714,588.429421,19932.37897,0,0,0,0,213.9803302,0,388.3566871,97.3380348,89.26387368,1.059069228,1405.091621,0,565.1158502,0,0,0,7727.067983,22956.00139,16979.76442,3882.376881,0,0,6540.045871,0,2760.40657,221.4491836,489.5500669,3347.126249,479.4790742,0,0,1455.576559,5504.610222,255.9139289,294.9965881,2022.559996,5847.570054,0,0,0,0,223.2825461,0,135.1517414,0,35.34943157,0,0,0,0,111.460351,0,0,0,0,16.86375986,27.69233027,0
basil0622_43.D,43lec13t1,lemon,flower,0.0902,343.2923222,65.126803,220.1473821,4280.130093,1315.7605,47.80641744,382.2328245,3591.900068,0,0,0,0,0,242.971688,0,47898.464,1602.226083,159.8813549,137.3600432,129.982853,2314.335442,0,63.35149725,18147.6938,6685.764683,874.925345,18421.78692,0,0,0,0,639.2754063,0,177.4187042,136.2950594,109.9124898,0,1595.506701,0,0,0,0,0,14489.73953,36966.74092,25772.17824,6319.979749,0,0,11431.705,0,4900.145515,344.1372488,345.7188795,5082.791511,615.7176654,0,0,0,7574.334218,333.632119,381.1982463,2197.40783,9026.177202,0,0,0,0,517.3247725,0,234.1103054,0,30.90891398,0,319.42526,0,0,113.9321364,4.193042086,0,0,6.067557193,101.6140994,92.82978235,0
basil0622_31.D,31lic135t1,lemon,flower,0.1902,73.5204095,0,0,488.2373252,53.50830503,0,0,239.6320878,0,0,0,0,0,0,70.0420618,0,0,0,84.49563757,77.77400489,42.69184422,0,0,1381.775496,344.2421316,211.9177383,1094.500347,0,0,0,23.33817709,196.5324946,0,35.44968872,13.19840703,0,0,453.7898541,169.6493927,0,0,0,0,1357.349683,4517.975947,2679.356691,666.5971102,0,16.38014063,1358.325821,55.38238016,414.6213968,57.4646297,125.3254178,1285.547624,28.30372951,0,0,204.2681343,0,34.85393822,142.7249955,415.4632981,1103.915613,0,0,0,0,29.08549739,0,54.75963691,0,0,23.15538298,0,154.6558314,0,145.4036423,0,0,0,0,0,0,0
basil0622_24.D,24lec2t1,lemon,leaf,0.0806,928.8976624,0,79.41125354,452.9076404,215.3106659,0,109.9486108,428.5907858,0,0,0,0,0,0,0,2125.63589,0,0,218.8405083,194.4030297,184.3163122,49.79959121,6.815869872,198.8884803,0,0,3105.111038,0,0,0,25.20718025,257.6066885,0,0,13.61581158,0,0,48.88108906,0,47.97869267,0,0,0,305.4282895,1062.143342,1322.2441,192.3083747,0,0,309.1932319,0,130.4423564,8.517089845,0,116.7670235,0,26.80196628,26.28059864,94.01773118,423.9066739,0,0,131.219967,436.1385881,0,0,0,0,0,0,40.36646895,0,0,0,0,0,0,60.47066341,0,0,0,0,0,0,0
